Motif,RBP
MTF11025,HNRNPH1
MTF11358,HNRNPH1
MTF10605,HNRNPH1
MTF11583,HNRNPH1
MTF10867,HNRNPH1
MTF10624,HNRNPH1
MTF11009,HNRNPH1
MTF11514,HNRNPH1
MTF11131,HNRNPH1
MTF10689,HNRNPH1
MTF10690,HNRNPH1
MTF11407,HNRNPH1
MTF11587,HNRNPH1
MTF11607,HNRNPH1
MTF10849,HNRNPH1
MTF11542,HNRNPH1
MTF11395,HNRNPH1
MTF10765,HNRNPH1
MTF10629,HNRNPH1
MTF10868,HNRNPH1
MTF11484,HNRNPH2
MTF10594,HNRNPH2
MTF10931,HNRNPH2
MTF11421,HNRNPH2
MTF10920,HNRNPH2
MTF11597,HNRNPH2
MTF10710,HNRNPH2
MTF11691,HNRNPH2
MTF11619,HNRNPH2
MTF10933,HNRNPH2
MTF10678,HNRNPH2
MTF11222,HNRNPH2
MTF10785,HNRNPH2
MTF10803,HNRNPH2
MTF10911,HNRNPH2
MTF11106,HNRNPH2
MTF10917,HNRNPH2
MTF10665,HNRNPH2
MTF10740,HNRNPH2
MTF11570,HNRNPH2
MTF10664,HNRNPH2
MTF11480,HNRNPH2
MTF10998,HNRNPH2
MTF11150,HNRNPH2
MTF10938,HNRNPH2
MTF11146,HNRNPH2
MTF10757,HNRNPH2
MTF11098,HNRNPH2
MTF10922,HNRNPH2
MTF11110,HNRNPH2
MTF11035,HNRNPH2
MTF11546,HNRNPH2
MTF10864,HNRNPH2
MTF11094,HNRNPH2
MTF11501,HNRNPH2
MTF10692,HNRNPH2
MTF11213,HNRNPH2
MTF11174,HNRNPH2
MTF11698,HNRNPH2
MTF10916,HNRNPH2
MTF10986,HNRNPH2
MTF11585,HNRNPH2
MTF10873,HNRNPH2
MTF11204,HNRNPH2
MTF10763,HNRNPH2
MTF11209,HNRNPH2
MTF11111,HNRNPH2
MTF11160,HNRNPH2
MTF10976,HNRNPH2
MTF11553,HNRNPH2
MTF11665,HNRNPH2
MTF11147,HNRNPH2
MTF10759,HNRNPH3
MTF10872,HNRNPH3
MTF11167,HNRNPH3
MTF11242,HNRNPH3
MTF11503,HNRNPH3
MTF11257,HNRNPH3
MTF10962,HNRNPH3
MTF10639,HNRNPH3
MTF11674,HNRNPH3
MTF11370,HNRNPH3
MTF11437,HNRNPH3
MTF11569,HNRNPH3
MTF10660,HNRNPH3
MTF11499,HNRNPH3
MTF11568,HNRNPH3
MTF11610,HNRNPH3
MTF11215,HNRNPH3
MTF11547,HNRNPH3
MTF11091,HNRNPH3
MTF10647,HNRNPH3
MTF10869,HNRNPH3
MTF11488,HNRNPH3
MTF11572,HNRNPH3
MTF11188,HNRNPH3
MTF11469,HNRNPH3
